DataProvider, AccessionNumber, SpecimenType, TypeStatus, Exsiccata, Flags, Notes, SpecimenLinks, DuplicatesAt, OtherCatalogNumbers, AssignedReferenceNumbers, TaxonName_C1, Determiner_C1, DeterminersRefNo_C1, IdentificationType_C1, IdentificationDateISO_C1, IdentifiersNote_C1, PreferredName_C1, VernacularName_C1, PartAffected_C1, Substrate_C1, AssociationType_C1, Association_C1, PreviousIdentifications_C1, TaxonName_C2, Determiner_C2, DeterminersRefNo_C2, IdentificationType_C2, IdentificationDateISO_C2, IdentifiersNote_C2, PreferredName_C2, VernacularName_C2, PartAffected_C2, Substrate_C2, AssociationType_C2, Association_C2, PreviousIdentifications_C2, OtherComponents, Contributor, ContributorRefNo, Isolator, IsolationDate, ReceivedFrom, ReceivedDate, SpecimenEvents, Country_CE1, VerbatimCountry_CE1, LandDistrict_CE1, NZAreaCode_CE1, EcologicalDistrict_CE1, Locality_CE1, Collector_CE1, CollectionDate_CE1, CollectionDateISO_CE1, Habitat_CE1, MicroHabitat_CE1, Altitude_CE1, LocalHeight_CE1, GeoReference_CE1, DecimalLatitude_CE1, DecimalLongitude_CE1, Abundance_CE1, Method_CE1, Keywords_CE1, Context_CE1, Country_CE2, VerbatimCountry_CE2, LandDistrict_CE2, NZAreaCode_CE2, EcologicalDistrict_CE2, Locality_CE2, Collector_CE2, CollectionDate_CE2, CollectionDateISO_CE2, Habitat_CE2, MicroHabitat_CE2, Altitude_CE2, LocalHeight_CE2, GeoReference_CE2, DecimalLatitude_CE2, DecimalLongitude_CE2, Abundance_CE2, Method_CE2, Keywords_CE2, Context_CE2, OtherCollectionEvents, SpecimenId, DataAccessLevel, IsDeaccessioned
"International Collection Of Micro-organisms","ICMP 22017","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 1","Characterised as: Sequencing of ITS and LSU gene.; Other Details: This is a new record for New Zealand. The organism has been reported from Australia as a turf pathogen and as a root growth promoter from USA.","","","","","Phialocephala bamuru P.T.W. Wong & C. Dong 2015","B. Weir","","Determination","2016-03-20","","Phialocephala bamuru P.T.W. Wong & C. Dong","","","","","","",,,,,,,,,,,,,,"","M. Toome","T16-01152",,,,,"","New Zealand","","","","","Auckland","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","B2352313-6EA9-424B-97A5-2A6754E164FC","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 15792","Bacterial Culture","","","Price Category: Category 1","Growth Conditions: YMA 26 C for 3 days","","","","","Mesorhizobium Jarvis et al. 1997","B. Weir","","Determination","","","Mesorhizobium Jarvis et al. 1997","","","","isolated from","isolated from Carmichaelia nana","TaxonName: Mesorhizobium sp.","Carmichaelia nana","","","Determination","","","Carmichaelia nana (Hook.f.) Hook.f.","","root nodule","","","","","","B. Weir","BSW75","","2004-11-01",,,"","New Zealand","New Zealand","","Taupo","","Tukino Mountain Road, Tongariro National Park","","Nov 2004","2004-11-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","82C403A1-D384-4F30-974B-2382E1B6D648","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 5698","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 5698","Periconia macrospinosa Lefebvre & Aar.G. Johnson","","","Determination","","","Periconia macrospinosa Lefebvre & Aar.G. Johnson 1949","","","","isolated from","isolated from Lolium perenne L.","TaxonName: Periconia macrospinosa","Lolium perenne L.","","","Determination","","","Lolium perenne L.","perennial ryegrass","root","","","","","","M. Fowler","P5","","1977-09-01",,,"","New Zealand","New Zealand","","","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","8EDEAB1F-6178-40BA-A1CA-C8BCCC55447E","Public","",
"International Collection Of Micro-organisms","ICMP 19178","Chromist Culture","","","Price Category: Category 1","","","","","","Phytophthora cryptogea Pethybr. & Laff. 1919","R. Thangavel","T11-03734A","Determination","","","Phytophthora cryptogea Pethybr. & Laff. 1919","","","","isolated from","isolated from Podocarpus totara D.Don","","Podocarpus totara D.Don","","","Determination","","","Podocarpus totara D.Don","Totara","Roots","","","","","","R. Thangavel","T11-03734A","R. Thangavel","2011-11-23",,,"","New Zealand","New Zealand","","Auckland","","Ramarama","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","3892AD01-7578-451B-BBE9-9E79A368B7A9","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19641","Fungal Culture","","","Price Category: Category 1","Characterised as:  by morphology and molecular sequencing","","","","","Cylindrocladiella parva (P.J. Anderson) Boesew. 1982","R. Thangavel","T12-04599e","Determination","2012-12-13","","Cylindrocladiella parva (P.J. Anderson) Boesew.","","","","isolated from","isolated from Buxus","","Buxus","","","Determination","","","Buxus","","Roots with soil","","isolated from","","","","R. Thangavel","T12-04599e","R. Thangavel","2012-11-14",,,"","New Zealand","New Zealand","","Auckland","","[Unknown]","D. Wood","1/11/2012","2012-11-01","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","AFB80596-9610-4961-9D6C-73A0455C1224","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19627","Chromist Culture","","","Price Category: Category 1","Characterised as: Identified by morphology and molecular sequencing","","","","","Phytophthora megasperma Drechsler 1931","R. Thangavel","T12-03884D","Determination","2012-10-03","","Phytophthora megasperma Drechsler 1931","","","","isolated from","isolated from Narcissus sp.","","Narcissus sp.","","","Determination","","","Narcissus","Daffodil","Roots and soil","","","","","","R. Thangavel","T12-03884D","R. Thangavel","2012-09-11",,,"","New Zealand","New Zealand","","Hawkes Bay","","[Unknown]","B. Mabin","25/8/2012","2012-08-25","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","AC23F91D-3A73-4967-BFEB-0FC09F090B83","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 20018","Fungal Culture","","","Price Category: Category 2; MPI: Restricted Culture","Characterised as: Identified by morphology and molecular sequencing","","","","","Clonostachys divergens Schroers 2001","R. Thangavel","T13-02947H","Determination","2013-10-07","","Clonostachys divergens Schroers 2001","","","","isolated from","isolated from Lavandula sp.","","Lavandula sp.","","","Determination","","","Lavandula","Lavender","Roots & soil","","","","","","R. Thangavel","T13-02947H","R. Thangavel","2013-07-04",,,"","New Zealand","New Zealand","","Buller","","Reefton","A. Adair","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","ADCE4117-F0BE-4831-B25F-DAA13AFCFA72","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 18510","Chromist Culture","","","Price Category: Category 1","","","","","","Phytophthora megasperma Drechsler","R. Thangavel","","Determination","","","Phytophthora megasperma Drechsler 1931","","","","isolated from","isolated from Schefflera actinophylla","TaxonName: Phytophthora megasperma","Schefflera actinophylla","","","Determination","","","Schefflera actinophylla","","roots","","","","","","R. Thangavel","T10-03518B","","2010-08-27",,,"","New Zealand","New Zealand","","Auckland","","Howick","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","2B9293AA-838A-4870-8345-16E4E528747A","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 18511","Chromist Culture","","","Price Category: Category 1","","","","","","Phytophthora sp. "taxon Pgchlamydo"","R. Thangavel","","Determination","","","Phytophthora chlamydospora Brasier & E.M. Hansen 2015","","","","isolated from","isolated from Macropiper excelsum","TaxonName: Phytophthora "taxon Pgchlamydo"","Macropiper excelsum","","","Determination","","","Piper excelsum Forst.f.","","roots","","","","","","R. Thangavel","09/09/5403J","","2010-02-23",,,"","New Zealand","New Zealand","","Auckland","","Onepoto Reserve","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","6B87EB3C-5859-4BD2-AD34-2CF7F9B08AF9","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 18509","Fungal Culture","","","Price Category: Category 1","","","","","","Peyronellaea australis Aveskamp, Gruyter & Verkley","R. Thangavel","","Determination","","","Peyronellaea australis Aveskamp, Gruyter & Verkley","","","","isolated from","isolated from Griselinia littoralis","TaxonName: Peyronellaea australis","Griselinia littoralis","","","Determination","","","Griselinia littoralis Raoul","","roots","","","","","","R. Thangavel","T10-03183G","","2010-08-25",,,"","New Zealand","New Zealand","","Auckland","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","1584D630-3B90-4A0D-A333-3F14B73CF4A1","Public","",
"International Collection Of Micro-organisms","ICMP 10478","Fungal Culture","","","Price Category: Category 1","","","","","","Microdochium dimerum (Penz.) Arx","","","Determination","","","Bisifusarium dimerum (Penz.) L. Lombard & Crous","","","","isolated from","isolated from Agropyron sp.","TaxonName: Microdochium dimerum","Agropyron sp.","","","Determination","","","Agropyron","","roots","","","","","","G. Laundon","LEV 18102","","1981-06-01",,,"","New Zealand","New Zealand","","Wanganui","","Marton","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","43CD47D1-BE64-47E9-B212-9CAD0BEDE2AF","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 5133","Fungal Culture","","","Price Category: Category 1","Characterised as: F. proliferation based on EF1 a sequence (O'Donnel)","","","NRRL 38473","PDDCC: PDDCC 5133","Fusarium proliferatum (Matsush.) Nirenberg","K. O'Donnel","","Determination","2007-03-08","","Fusarium proliferatum (Matsush.) Nirenberg ex Gerlach & Nirenberg 1982","","","","isolated from","isolated from Asparagus officinalis L.","TaxonName: Fusarium oxysporum Schlechtendal f. sp. redolens","Asparagus officinalis L.","","","Determination","","","Asparagus officinalis L.","asparagus","root","","","","","","J.M. Dingley","7215","","1972-01-01",,,"","New Zealand","New Zealand","","Hawkes Bay","","Hawkes Bay","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","05A0F4EC-0957-40F0-9362-B4D7CFFC6CC0","Public","",
"International Collection Of Micro-organisms","ICMP 5327","Bacterial Culture","","","MPI: Restricted Culture; Grade: a; Price Category: Category 2","Note: see: https://babel.hathitrust.org/cgi/pt?id=uc1.31175001303299;view=1up;seq=387 for original publication","","","","PDDCC: PDDCC 5327","Erwinia carotovora subsp. carotovora (Jones 1901) Bergey et al. 1923","","","Determination","","","Pectobacterium carotovorum (Jones 1901) Waldee subsp. carotovorum","","","","isolated from","isolated from Daucus carota L. var. sativus Hoffm.","TaxonName: Erwinia carotovora subsp. carotovora","Daucus carota L. var. sativus Hoffm.","","","Determination","","","Daucus carota var. sativus (L.) Schübl. & G.Martens","carrot","soft rot of root core","","","","","","D.R.W. Watson","A2250","","1975-01-01",,,"Via, actioned by L. Beraha on 1975-01-01; Ex, actioned by D.B. Towner on 1975-01-01","United States","USA","","","","Rio Grande Valley, Texas","S.D. Kimmel","Apr 1975","1975-04-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","62EDA54E-D38B-4B79-A304-884CF09A73F3","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 15686","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocarpon destructans (Zinssm.) Scholten","C.F. Hill","","Determination","","","Ilyonectria destructans (Zinssm.) Rossman, L. Lombard & Crous","","","","isolated from","isolated from Cycas revoluta","TaxonName: Cylindrocarpon destructans","Cycas revoluta","","","Determination","","","Cycas revoluta","","root","","","","","","C.F. Hill","1072","","2004-08-01",,,"","New Zealand","New Zealand","","Auckland","","Kohimarama","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","E56371FA-3DC3-45ED-BFAC-DB58270469DA","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16204","Chromist Culture","","","Price Category: Category 1","","","","","","Phytophthora citricola Sawada","C.F. Hill","","Determination","","","Phytophthora citricola Sawada 1927","","","","isolated from","isolated from Leucothoe walteri","TaxonName: Phytophthora citricola","Leucothoe walteri","","","Determination","","","Leucothoe walteri","","soil/root mass of dying plants","","","","","","C.F. Hill","1244","","2005-09-01",,,"","New Zealand","New Zealand","","Auckland","","Manurewa","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","E4575331-D382-48DC-964C-47AD5D407206","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16220","Fungal Culture","","","Price Category: Category 1","Other Details: typical symptoms of blackfoot disease","","","","","Cylindrocarpon destructans (Zinssm.) Scholten","A. Reed","","Determination","","","Ilyonectria destructans (Zinssm.) Rossman, L. Lombard & Crous","","","","isolated from","isolated from Vitis sp.","TaxonName: Cylindrocarpon destructans","Vitis sp.","","","Determination","","","Vitis L.","","roots, vine decline and xylem streaking","","","","","","A. Reed","","","2005-09-02",,,"Ex, actioned by C. Bleach on 2005-09-02","New Zealand","New Zealand","","Marlborough","","","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","663AF3C9-17F9-4B23-AB28-BDE67748D12D","Public","",
"International Collection Of Micro-organisms","ICMP 16241","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of broom; Growth Conditions: YMA-Ca, R2A @ 26 C for 7-21 days","","","","","Bradyrhizobium sp.","J.M. Young","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Cytisus scoparius","TaxonName: Bradyrhizobium sp.","Cytisus scoparius","","","Determination","","","Cytisus scoparius (L.) Link","","root nodule","","","","","","J.M. Young","A5","","2005-11-10",,,"","New Zealand","New Zealand","","Auckland","","Glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","9FB36945-22AC-4BCF-9850-50D579C39126","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 18941","Fungal Culture","","","Price Category: Category 1","","","","","","Cylindrocladiella parva (P.J. Anderson) Boesew.","R. Thangavel","T10-6141E","Determination","","","Cylindrocladiella parva (P.J. Anderson) Boesew.","","","","isolated from","isolated from Coprosma","","Coprosma","","","Determination","","","Coprosma","","root","","isolated from","","","","R. Thanagavel","T10-6141E","R. Thangavel","2011-05-04",,,"","New Zealand","New Zealand","","Auckland","","Laingholm","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","DF51EC81-0B58-4AEC-A737-2077A468020D","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19887","Bacterial Culture","Type strain","","Grade: a; MPI: Restricted Culture; Price Category: Category 2","Growth Conditions: YMA, YNA 28 C; Strain Data: Group B","","","CFBP 5553; LMG 22837","","Phyllobacterium bourgognense Mantelin et al. 2005","","","Determination","","","Phyllobacterium bourgognense Mantelin et al.","","","","isolated from","isolated from Brassica napus L.","","Brassica napus L.","","","Determination","","","Brassica napus L.","Canola","Roots","","","","","","CFBP","5553","H. Bertrand","1993-00-00",,,"Via, actioned by J.C. Cleyet-Marel on ","France","France","","","","Saint Apollinaire, Cote d'Or","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","0B3BBFAD-5DA9-4CCA-BE7E-50FBD8698323","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19888","Bacterial Culture","Type strain","","Grade: a; MPI: Restricted Culture; Price Category: Category 2","Growth Conditions: YMA, R2A, YNA 28 C; Strain Data: Group B","","","CFBP 5551; LMG 22836","","Phyllobacterium brassicacearum Mantelin et al. 2005","","","Determination","","","Phyllobacterium brassicacearum Mantelin et al.","","","","isolated from","isolated from Brassica napus L.","","Brassica napus L.","","","Determination","","","Brassica napus L.","Canola","Roots","","","","","","CFBP","5551","H. Bertrand","1993-00-00",,,"Via, actioned by J.C. Cleyet-Marel on ","France","France","","","","Saint Apollinaire, Cote d'Or","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","DC0F79A9-2D7C-4D03-AF43-9F7A463E9C38","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19889","Bacterial Culture","Type strain","","Grade: a; MPI: Restricted Culture; Price Category: Category 2","Growth Conditions: YMA 28 C; Strain Data: Group A","","","CFBP 6742; LMG 22831","","Phyllobacterium ifriqiyense Mantelin et al. 2005","","","Determination","","","Phyllobacterium ifriqiyense Mantelin et al.","","","","isolated from","isolated from Lathyrus numidicus","","Lathyrus numidicus","","","Determination","","","","","Nodules on roots","","","","","","CFBP","6742","de Lajudie","",,,"Via, actioned by J.C. Cleyet-Marel on ","Tunisia","Tunisia","","","","South Tunisia","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","2FD1469B-3E8D-4486-85E1-DCF9420539C7","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19890","Bacterial Culture","Type strain","","Grade: a; MPI: Restricted Culture; Price Category: Category 2","Growth Conditions: YMA, YNA, R2A 28 C; Strain Data: Group C","","","CFBP 6745; LMG 22833","","Phyllobacterium leguminum Mantelin et al.","","","Determination","","","Phyllobacterium leguminum Mantelin et al.","","","","isolated from","isolated from Astragalus algerianus","","Astragalus algerianus","","","Determination","","","","","Nodules on roots","","","","","","CFBP","6745","de Lajudie","",,,"Via, actioned by J.C. Cleyet-Marel on ","Tunisia","Tunisia","","","","South Tunisia","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","315BF53A-4725-4BCE-BD39-A62C8D96D937","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16260","Chromist Culture","","","Price Category: Category 1","","","","","","Phytophthora de Bary","","","Determination","","","Phytophthora de Bary 1876 [1875]","","","","isolated from","isolated from Schefflera sp.","TaxonName: Phytophthora sp.","Schefflera sp.","","","Determination","","","Schefflera","","isolated from roots/soil mass -  whole plant wilting","","","","","","C.F. Hill","1285","","2005-11-01",,,"","New Zealand","New Zealand","","Auckland","","Bucklands Beach","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","1D32769D-058C-4E2B-B689-191FAAC2638F","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 18996","Fungal Culture","","","Price Category: Category 1","Characterised as: Identified by morphology and sequencing","","","","","Fusarium oxysporum Schltdl. 1824","R. Thangavel","T10-06141D","Determination","2011-02-23","","Fusarium oxysporum Schltdl.","","","","isolated from","isolated from Coprosma sp.","","Coprosma sp.","","","Determination","","","Coprosma","","Root","","","","","","R. Thangavel","T10-06141D","R. Thangavel","2011-02-23",,,"","New Zealand","New Zealand","","Auckland","","Auckland Museum and the Domain","B. Lawton","8/12/10","2010-12-08","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","F57F27C6-435D-453C-88D9-5F873BB0E6A8","Public","FALSE",
